id,URL,Title,author,date
1,https://www.theverge.com/23656561/sonos-era-100-speaker-review-features,Sonos Era 100 review: the new default smart speaker,CHRIS WELCH,21 MINUTES AGO
2,https://www.theverge.com/2023/3/27/23657928/twitter-source-code-leak-github,"Twitter says source code was leaked on GitHub, now it’s trying to find the culprit",JON PORTER,3:14 PM GMT+5:30
3,https://www.theverge.com/2023/3/26/23655456/chatgpt-bard-bing-ai-race-text-boxes,ChatGPT started a new kind of AI race — and made text boxes cool again,DAVID PIERCE,MAR 26
4,https://www.theverge.com/23654583/gdc-2023-best-indie-games-venba-cart-life,9 cool new games from GDC 2023,ANDREW WEBSTER,MAR 25
5,https://www.theverge.com/2023/3/26/23655517/successio-season-4-review,Succession’s final season doubles down on its core conceit — to a fault,CHARLES PULLIAM-MOORE,MAR 26
6,https://www.theverge.com/2023/3/26/23657627/microsoft-xbox-game-pass-trial-offer-stopped,Microsoft says it has stopped its Xbox Game Pass $1 trial offer,TOM WARREN,5:37 AM GMT+5:30
7,https://www.theverge.com/,,Unknown,Unknown
8,https://www.theverge.com/2023/3/26/23657317/apple-headset-launch-employee-concerns,Apple staff reportedly express doubts about mixed-reality headset months ahead of launch,EMMA ROTH,3:56 AM GMT+5:30
9,https://www.theverge.com/2023/3/26/23657431/wii-u-nintendo-3ds-eshops-shut-down,Nintendo’s Wii U and 3DS eShops shut down today,EMMA ROTH,3:18 AM GMT+5:30
10,https://www.theverge.com/2023/3/26/23657182/elon-musk-twitter-employee-stock-grants-valuation,Elon Musk reportedly halves Twitter’s valuation in internal memo,EMMA ROTH,MAR 26
11,https://www.theverge.com/2023/3/26/23656613/airpods-pro-usb-c-launch-rumors-ming-chi-kuo,AirPods Pro with USB-C are supposedly on the way,EMMA ROTH,MAR 26
12,https://www.theverge.com/2023/3/25/23656627/microsoft-fixes-screenshot-vulnerability-windows,Microsoft fixes reversible screenshot vulnerability on Windows,EMMA ROTH,MAR 26
13,https://www.theverge.com/2023/3/25/23656336/microsoft-chatbot-rivals-stop-using-bing-search-index,Microsoft reportedly orders AI chatbot rivals to stop using Bing’s search data,EMMA ROTH,MAR 26
14,https://www.theverge.com/2023/3/25/23656212/arrested-development-staying-on-netflix-licensing-deal,It turns out Arrested Development is staying on Netflix after all,EMMA ROTH,MAR 25
15,https://www.theverge.com/2023/3/25/23654072/amazon-kindle-paperwhite-scribe-bose-quietcomfort-45-echo-show-8-apple-deal-sale,The Kindle Paperwhite and Kindle Scribe are down to their best prices of the year,SHEENA VASANI,MAR 25
16,https://www.theverge.com/23652417/amazfit-band-7-review-budget-fitness-tracker,Amazfit Band 7 review: where did all the budget trackers go?,VICTORIA SONG,MAR 25
17,https://www.theverge.com/2023/3/24/23655844/gordon-moore-intel-co-founder-creator-moores-law-died,"Gordon Moore, Intel co-founder and creator of Moore’s Law, has died",MITCHELL CLARK,MAR 25
18,https://www.theverge.com/2023/3/24/23655804/internet-archive-hatchette-publisher-ebook-library-lawsuit,The Internet Archive has lost its first fight to scan and lend e-books like a library,JAY PETERS,MAR 25
19,https://www.theverge.com/2023/3/24/23655622/chatgpt-outage-payment-info-exposed-monday,"ChatGPT’s history bug may have also exposed payment info, says OpenAI",MITCHELL CLARK,MAR 25
20,https://www.theverge.com/2023/3/24/23655616/framework-laptop-battery-i5-ryzen-5-higher-price,"I nearly bought a Framework Laptop, but logistical realities got in the way",SEAN HOLLISTER,MAR 25
21,https://www.theverge.com/2023/3/24/23654831/tiktok-congressional-hearing-xenophobia-china,"That TikTok hearing was pretty messed up, right?",ALEX CRANZ,MAR 25
22,https://www.theverge.com/2023/3/24/23655476/google-docs-update-redesign-ugly,Some questions for the employees behind Google Docs,ELIZABETH LOPATTO,MAR 25
23,https://www.theverge.com/2023/3/24/23655462/epic-games-unreal-editor-fortnite-permaban-dmca,Trying to recreate Mario Kart in the Fortnite editor could get you banned,JAY PETERS,MAR 25
24,https://www.theverge.com/2023/3/24/23655312/bing-ai-generated-stories-knowledge-cards,Bing’s showing ‘AI-generated stories’ in some search results,MITCHELL CLARK,MAR 25
25,https://www.theverge.com/2023/3/24/23655214/xencelabs-pen-display-24-drawing-graphics-tablet-price-release-wacom,Xencelabs’ new display drawing tablet gives Wacom a run for its money,JESS WEATHERBED,MAR 25
26,https://www.theverge.com/23655258/funko-mondo-posters-layoffs-toys-vinyl,You might want to get your Mondo posters while you still can,CHARLES PULLIAM-MOORE,MAR 25
27,https://www.theverge.com/2023/3/24/23655071/ford-electric-truck-next-gen-project-t3-blueoval-city,"Ford teases new ‘Millennium Falcon’-like electric truck, codenamed ‘Project T3’",ANDREW J. HAWKINS,MAR 24
28,https://www.theverge.com/2023/3/24/23655092/twitter-blue-verified-checkmark-hide-research,Twitter Blue subscribers may be able to hide their blue checks,MITCHELL CLARK,MAR 24
29,https://www.theverge.com/2023/3/24/23654817/energy-efficiency-standards-doe-window-ac-air-purifier,Window AC units and air purifiers in the US are about to get more energy-efficient,JUSTINE CALMA,MAR 24
